Date,Type,category_name,Amount,Currency,Note,Labels,date_format,amount
2024-02-01T03:48:51+00:00,Expense,Activities,-337.43966256,USD,pre deposit yoga vinyasa rishikesh,,2024-02,337.43966256
2024-02-01T08:29:14+00:00,Expense,Restaurant,-4.8129,USD,Chana masala,,2024-02,4.8129
2024-02-02T08:45:30+00:00,Expense,Education,-1192.588491,USD,Yoga 200 hours full vinyasa yogashala,,2024-02,1192.588491
2024-02-02T16:46:52+00:00,Expense,Shopping,-46.88940375,USD,decathlon,ropa,2024-02,46.88940375
2024-02-03T04:48:58+00:00,Expense,Shopping,-3.7781265,USD,Te y pildoras peo,,2024-02,3.7781265
2024-02-03T05:17:19+00:00,Expense,Shopping,-0.8422575,USD,3 llaveros ohm,,2024-02,0.8422575
2024-02-04T12:07:15+00:00,Expense,Coffee,-4.090965,USD,,,2024-02,4.090965
2024-02-04T12:07:27+00:00,Expense,Shopping,-5.4145125,USD,Guitar strings,music,2024-02,5.4145125
2024-02-04T12:08:19+00:00,Expense,Restaurant,-3.609675,USD,,,2024-02,3.609675
2024-02-05T09:24:02+00:00,Expense,Shopping,-0.6016125,USD,Monedro,,2024-02,0.6016125
2024-02-05T09:24:36+00:00,Expense,Shopping,-2.40645,USD,Guitar strings dervice,music,2024-02,2.40645
2024-02-07T04:13:17+00:00,Expense,Shopping,-8.72338125,USD,"Cough , cold penuat buter highleter",,2024-02,8.72338125
2024-02-07T15:29:59+00:00,Expense,Groceries,-9.7461225,USD,,,2024-02,9.7461225
2024-02-08T16:00:17+00:00,Expense,Shopping,-1.8048375,USD,Cuaderno ,,2024-02,1.8048375
2024-02-09T15:10:45+00:00,Expense,Shopping,-16.2435375,USD,Iphone tripod and 3 in 1 data cable,,2024-02,16.2435375
2024-02-10T18:26:19+00:00,Expense,Shopping,-75.71894925,USD,Decathlon varios down jacket,ropa,2024-02,75.71894925
2024-02-11T05:58:40+00:00,Expense,Restaurant,-2.647095,USD,Dhosa,,2024-02,2.647095
2024-02-11T08:46:30+00:00,Expense,Restaurant,-4.8129,USD,,,2024-02,4.8129
2024-02-11T08:48:47+00:00,Expense,Restaurant,-4.2112875,USD,,,2024-02,4.2112875
2024-02-11T14:29:24+00:00,Expense,Shopping,-16.5323115,USD,Varios,,2024-02,16.5323115
2024-02-12T17:01:55+00:00,Expense,Shopping,-42.690423,USD,Yoga foldable mat,,2024-02,42.690423
2024-02-13T06:24:40+00:00,Expense,Gifts,-12.03225,USD,Cuadernos,,2024-02,12.03225
2024-02-13T06:29:16+00:00,Expense,Gifts,-4.8129,USD,Mochila jose y estuche dami,,2024-02,4.8129
2024-02-13T07:04:28+00:00,Expense,Shopping,-3.0080625,USD,Notebook and huevito,,2024-02,3.0080625
2024-02-13T09:28:52+00:00,Expense,Restaurant,-8.66322,USD,,,2024-02,8.66322
2024-02-13T15:26:07+00:00,Expense,Restaurant,-4.2112875,USD,,,2024-02,4.2112875
2024-02-14T04:20:53+00:00,Expense,Shopping,-4.8129,USD,Polera neoali gris,,2024-02,4.8129
2024-02-14T05:01:49+00:00,Expense,Gifts,-30.080625,USD,Regalo lonchi tambor,,2024-02,30.080625
2024-02-15T05:01:53+00:00,Expense,Restaurant,-1.92516,USD,,,2024-02,1.92516
2024-02-15T09:43:38+00:00,Expense,Restaurant,-1.684515,USD,,,2024-02,1.684515
2024-02-16T08:58:14+00:00,Expense,Groceries,-10.2274125,USD,,,2024-02,10.2274125
2024-02-16T08:59:16+00:00,Expense,Groceries,-2.40645,USD,,,2024-02,2.40645
2024-02-18T08:53:42+00:00,Expense,Restaurant,-7.941285,USD,,,2024-02,7.941285
2024-02-18T08:54:25+00:00,Expense,Activities,-14.4387,USD,Beatles ashram,,2024-02,14.4387
2024-02-18T15:08:06+00:00,Expense,Coffee,-2.0454825,USD,,,2024-02,2.0454825
2024-02-19T09:28:57+00:00,Expense,Coffee,-1.203225,USD,,,2024-02,1.203225
2024-02-19T14:22:01+00:00,Expense,Groceries,-6.73806,USD,,,2024-02,6.73806
2024-02-20T04:36:56+00:00,Expense,Coffee,-1.44387,USD,,,2024-02,1.44387
2024-02-21T11:44:27+00:00,Expense,Coffee,-2.7674175,USD,,,2024-02,2.7674175
2024-02-21T12:38:07+00:00,Expense,Shopping,-4.8129,USD,Pair earrings ,,2024-02,4.8129
2024-02-21T13:19:17+00:00,Expense,Coffee,-0.8903865,USD,,,2024-02,0.8903865
2024-02-23T12:34:43+00:00,Expense,Coffee,-2.88774,USD,,,2024-02,2.88774
2024-02-24T11:08:49+00:00,Expense,Groceries,-9.5054775,USD,,,2024-02,9.5054775
2024-02-25T07:26:09+00:00,Expense,Restaurant,-3.36903,USD,Sceret garden puta gread,,2024-02,3.36903
2024-02-25T16:23:24+00:00,Expense,Restaurant,-9.0241875,USD,Thali on ,,2024-02,9.0241875
